AROKATO;Nom;Etat2001;Dist2001;Longitude;Latitude;Stat_cap;Dist_Cap;Status U/R;Status D;1961;1981;1991;2001;2011
ARR1709;Delhi;7;9;77.2437;28.5995;1;1;U;M.CORP;5952080;9611926;12143816;17144995;22424729
ARR21917;Kolkata;19;17;88.3662;22.5401;1;1;U;M.CORP;5283105;9555610;11444057;15979365;17251493
ARR32722;Mumbai;27;22;72.8563;19.0859;1;1;U;M.CORP;4918815;9572124;11348168;14697085;16743028
ARR43214;Thiruvananthapuram;32;14;76.9473;8.46786;1;1;U;M.CORP;2186588;4101904;6248376;7907589;9933079
ARR53302;Chennai;33;2;80.2695;13.0823;1;1;U;M.CORP;2832985;4948910;5733455;6925294;8731844
ARR62920;Bangalore;29;20;77.5999;12.9756;1;1;U;M.CORP;2167278;4216647;4625257;5850084;8592776
ARR72805;Hyderabad;28;5;78.4606;17.4101;1;1;U;M.CORP;2277797;3721380;4381890;5913737;7430649
ARR82407;Ahmadabad;24;7;72.6;23.0306;0;1;U;M.CORP;2419659;3609028;3774967;4552326;5653127
ARR9324;Kozhikode;32;4;75.77699108;11.25868582;0;1;U;M.CORP;2472627;3057057;4692757;5374130;5536683
ARR102725;Pune;27;25;73.857122;18.517283;0;1;U;M.CORP;1172404;1809061;2294287;3866067;5308230
ARR112422;Surat;24;22;72.8292;21.1969;0;1;U;M.CORP;891112;1481795;1547884;2816053;4527057
ARR12325;Malappuram;32;5;76.08386948;11.04281399;0;1;U;M.CORP;1665072;2687722;3316694;3947441;4466458
ARR13812;Jaipur;8;12;75.771844;26.895886;1;1;U;M.CORP;493707;1429743;1689784;1922808;3171332
ARR14927;Lucknow;9;27;80.912206;26.856007;1;1;U;M.CORP;1230104;1533390;1704445;2293644;2949426
ARR15934;Kanpur;9;34;80.3253;26.4621;0;1;U;M.CORP;1416162;2032467;2180358;2715555;2918971
ARR162709;Nagpur;27;9;79.0803;21.1432;0;1;U;M.CORP;819057;1302963;1718399;2193592;2604992
ARR171028;Patna;10;28;85.1474;25.6024;1;1;U;M.CORP;325488;359574;600597;2026179;2434151
ARR182326;Indore;23;26;75.865756;22.728895;0;1;U;M.CORP;706888;1129133;1401398;1653282;2209425
ARR192721;Kalyan-Dombivli;27;21;73.091214;19.214046;0;0;U;M.CORP;1100012;1418923;1437561;1925800;2085106
ARR20915;Agra;9;15;78.0183;27.1803;0;1;U;M.CORP;531834;814778;1169379;1449665;1804713
ARR21309;Ludhiana;3;9;75.8544;30.9141;0;1;U;M Corp.;474487;840057;1111337;1506476;1802296
ARR222332;Bhopal;23;32;77.406634;23.259261;1;1;U;M.CORP;593374;912883;1062771;1458416;1795648
ARR233312;Coimbatore;33;12;76.956002;10.998763;0;1;U;M.CORP;576867;1025415;1190303;1383128;1777316
ARR242813;Visakhapatnam;28;13;83.302721;17.730364;0;1;U;M Corp.;361157;1060300;1141412;1386359;1731713
ARR252419;Vadodara;24;19;73.1989;22.2953;0;1;U;M.CORP;859089;1160775;1427152;1483478;1704642
ARR26401;Chandigarh;4;1;76.784812;30.73489;1;1;U;M.CORP;408417;685049;889016;1313556;1662834
ARR272720;Nashik;27;20;73.788201;19.996315;0;1;U;M.CORP;501669;646452;808682;1132337;1546780
ARR283324;Madurai;33;24;78.1187;9.91744;0;1;U;M.CORP;760275;1002454;1157356;1233786;1451726
ARR29907;Meerut;9;7;77.707826;28.96967;0;1;U;M.CORP;559993;817809;866723;1173480;1415593
ARR303208;Kochi;32;7;76.21667;10.01667;0;0;R;R;487600;818000;1139600;1385500;1408987
ARR312018;Jamshedpur;20;18;86.223134;22.792353;0;0;U;TP;538544;1140779;1220814;1175661;1378128
ARR322409;Rajkot;24;9;70.78846;22.289666;0;1;U;M.CORP;463767;594794;792974;1012863;1340789
ARR332719;Aurangabad;27;19;75.329802;19.881144;0;1;U;M.CORP;198631;551894;691173;909681;1229354
ARR342721;Nalasopara;27;21;72.822013;19.419294;0;0;U;M;133030;247486;271822;608898;1226786
ARR35302;Amritsar;3;2;74.8845;31.6423;0;1;U;M.Corp;25415;47250;55427;1074814;1224690
ARR362339;Jabalpur;23;39;79.931276;23.153079;0;1;U;M.CORP;520778;889142;968851;1112574;1219382
ARR37967;Varanasi;9;67;82.9946;25.3514;0;1;U;M.CORP;701034;972667;1189823;1307661;1216113
ARR382816;Vijayawada;28;16;80.6248;16.5113;0;0;U;M.CORP;574030;890709;983286;1104336;1190837
ARR39945;Allahabad;9;45;81.8439;25.451;0;1;U;M.CORP;416356;797047;1042273;1067055;1179591
ARR402012;Dhanbad;20;12;86.42423;23.788195;0;1;U;M;434153;640205;698334;855668;1178250
ARR411406;Imphal;14;6;93.949201;24.807362;1;0;U;M;310727;503740;645948;831755;1177600
ARR422014;Ranchi;20;14;85.3266;23.3685;1;1;U;M.CORP;410846;566472;762004;892183;1138820
ARR432304;Gwalior;23;4;78.1522;26.226;0;1;U;M.CORP;393058;649670;734010;885835;1137232
ARR441806;Guwahati;18;6;91.7467;26.1795;1;0;U;M.CORP;374761;641383;841057;980449;1136974
ARR451018;Hajipur;10;18;85.20758;25.687193;0;0;U;M;412619;649052;744804;912921;1136842
ARR46815;Jodhpur;8;15;73.0273;26.2895;0;1;U;M.CORP;396762;524337;687506;896589;1122636
ARR47912;Aligarh;9;12;78.0759;27.8897;0;1;U;M.CORP;341865;489779;598742;747983;1092527
ARR483308;Salem;33;8;78.1572;11.6555;0;1;U;M.CORP;215409;439566;603180;854220;1024820
ARR49920;Bareilly;9;20;79.416004;28.365336;0;1;U;M.CORP;416468;643915;645872;792560;1003958
ARR50830;Kota;8;30;75.840503;25.177681;0;0;U;M.CORP;299332;475665;550420;728313;1001365
ARR51304;Jalandhar;3;4;75.5704;31.3313;0;1;U;M.Corp;325351;483119;592200;816908;982841
ARR523315;Tiruchirappalli;33;15;78.693827;10.815137;0;1;U;M.CORP;254077;436248;561904;846198;981453
ARR532730;Solapur;27;30;75.911526;17.663069;0;1;U;M.CORP;300773;537094;604215;872478;951118
ARR542909;Hubli-Dharwad;29;9;75.1382;15.3485;0;1;U;M.CORP;342620;527108;648298;786195;943857
